Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,K1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,L1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,P1,Destination[1],A5,500.0
Source[3],384PP_AQ_BP,H6,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,L1,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,P1,Destination[1],A6,100.0
Source[3],384PP_AQ_BP,H6,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B5,350.0
Source[1],384PP_AQ_BP,L1,Destination[1],B5,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],B5,350.0
Source[3],384PP_AQ_BP,H6,Destination[1],B5,2500.0
Source[3],384PP_AQ_BP,H6,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],C5,200.0
Source[1],384PP_AQ_BP,L1,Destination[1],C5,200.0
Source[1],384PP_AQ_BP,P1,Destination[1],C5,200.0
Source[3],384PP_AQ_BP,H6,Destination[1],C5,2500.0
