Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,P1,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,P3,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,P5,Destination[1],A4,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],A4,75.0
Source[1],384PP_AQ_BP,O17,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,K2,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,A1,Destination[1],A5,1000.0
Source[1],384PP_AQ_BP,A1,Destination[1],A6,725.0
Source[1],384PP_AQ_BP,P1,Destination[1],A6,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,P3,Destination[1],A6,75.0
Source[1],384PP_AQ_BP,P5,Destination[1],A6,25.0
Source[1],384PP_AQ_BP,A1,Destination[1],A7,550.0
Source[1],384PP_AQ_BP,P1,Destination[1],A7,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],A7,75.0
Source[1],384PP_AQ_BP,P5,Destination[1],A7,25.0
Source[1],384PP_AQ_BP,K1,Destination[1],A7,275.0
Source[1],384PP_AQ_BP,A1,Destination[1],A8,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],A8,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,P3,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],A8,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],A8,75.0
Source[1],384PP_AQ_BP,O17,Destination[1],A8,200.0
Source[1],384PP_AQ_BP,K2,Destination[1],A8,125.0
Source[1],384PP_AQ_BP,K4,Destination[1],A8,75.0
Source[1],384PP_AQ_BP,K5,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,K6,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,P1,Destination[1],A9,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],A9,50.0
Source[1],384PP_AQ_BP,P5,Destination[1],A9,25.0
Source[1],384PP_AQ_BP,P9,Destination[1],A9,75.0
Source[1],384PP_AQ_BP,O17,Destination[1],A9,200.0
Source[1],384PP_AQ_BP,K1,Destination[1],A9,275.0
Source[1],384PP_AQ_BP,K2,Destination[1],A9,125.0
Source[1],384PP_AQ_BP,K4,Destination[1],A9,75.0
Source[1],384PP_AQ_BP,K5,Destination[1],A9,50.0
Source[1],384PP_AQ_BP,K6,Destination[1],A9,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],A10,725.0
Source[1],384PP_AQ_BP,K4,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,K5,Destination[1],A10,75.0
Source[1],384PP_AQ_BP,K6,Destination[1],A10,100.0
Source[1],384PP_AQ_BP,D22,Destination[1],A4,3000.0
Source[1],384PP_AQ_BP,D22,Destination[1],A5,3000.0
Source[1],384PP_AQ_BP,D22,Destination[1],A6,2999.9999999999995
Source[1],384PP_AQ_BP,D22,Destination[1],A7,3000.0
Source[1],384PP_AQ_BP,D22,Destination[1],A8,3000.0
Source[1],384PP_AQ_BP,D22,Destination[1],A9,3000.0
Source[1],384PP_AQ_BP,D22,Destination[1],A10,2999.9999999999995
