Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume,,
Source[1],384PP_AQ_BP,A1,Destination[1],B2,2175,,
Source[1],384PP_AQ_BP,A1,Destination[1],B3,2275,,
Source[1],384PP_AQ_BP,A1,Destination[1],B4,1675,,
Source[1],384PP_AQ_BP,A1,Destination[1],B5,2325,,
Source[1],384PP_AQ_BP,A1,Destination[1],B6,1575,,
Source[1],384PP_AQ_BP,A1,Destination[1],B7,3100,,
Source[1],384PP_AQ_BP,A1,Destination[1],B8,2175,,
Source[1],384PP_AQ_BP,A1,Destination[1],B10,2250,,
Source[1],384PP_AQ_BP,A1,Destination[1],B11,2850,,
Source[1],384PP_AQ_BP,A1,Destination[1],B9,3585,,
Source[1],384PP_AQ_BP,A2,Destination[1],C10,2150,,
Source[1],384PP_AQ_BP,A2,Destination[1],C11,3500,,
Source[1],384PP_AQ_BP,A2,Destination[1],C2,2075,,
Source[1],384PP_AQ_BP,A2,Destination[1],C3,2175,,
Source[1],384PP_AQ_BP,A2,Destination[1],C4,1575,,
Source[1],384PP_AQ_BP,A2,Destination[1],C5,2225,,
Source[1],384PP_AQ_BP,A2,Destination[1],C6,1475,,
Source[1],384PP_AQ_BP,A2,Destination[1],C7,3000,,
Source[1],384PP_AQ_BP,A2,Destination[1],C8,2075,,`
Source[1],384PP_AQ_BP,A2,Destination[1],C9,3485,,
Source[1],384PP_AQ_BP,B1,Destination[1],B10,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B2,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B3,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B4,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B5,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B6,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B7,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B8,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],B9,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C10,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C2,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C3,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C4,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C5,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C6,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C7,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C8,100,,
Source[1],384PP_AQ_BP,B1,Destination[1],C9,100,,
Source[1],384PP_AQ_BP,B2,Destination[1],B10,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B2,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B3,275,,
