Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,C5,Destination[1],A1,1950.0
Source[1],384PP_AQ_BP,C15,Destination[1],A1,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A1,150.0
Source[1],384PP_AQ_BP,B13,Destination[1],A1,175.0
Source[1],384PP_AQ_BP,B20,Destination[1],A1,75.0
Source[1],384PP_AQ_BP,C5,Destination[1],A2,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],A2,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A2,150.0
Source[1],384PP_AQ_BP,B13,Destination[1],A2,175.0
Source[1],384PP_AQ_BP,B21,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,C5,Destination[1],A3,1925.0
Source[1],384PP_AQ_BP,C15,Destination[1],A3,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A3,150.0
Source[1],384PP_AQ_BP,D12,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,B13,Destination[1],A3,175.0
Source[1],384PP_AQ_BP,C5,Destination[1],A4,1350.0
Source[1],384PP_AQ_BP,C15,Destination[1],A4,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A4,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,B22,Destination[1],A4,200.0
Source[1],384PP_AQ_BP,B23,Destination[1],A4,425.0
Source[1],384PP_AQ_BP,C5,Destination[1],A5,1300.0
Source[1],384PP_AQ_BP,C15,Destination[1],A5,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A5,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,B22,Destination[1],A5,200.0
Source[1],384PP_AQ_BP,B23,Destination[1],A5,425.0
Source[1],384PP_AQ_BP,E7,Destination[1],A5,50.0
Source[1],384PP_AQ_BP,A2,Destination[1],A6,1300.0
Source[1],384PP_AQ_BP,C15,Destination[1],A6,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A6,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,B22,Destination[1],A6,200.0
Source[1],384PP_AQ_BP,B23,Destination[1],A6,425.0
Source[1],384PP_AQ_BP,E6,Destination[1],A6,50.0
Source[1],384PP_AQ_BP,A2,Destination[1],A7,850.0
Source[1],384PP_AQ_BP,C15,Destination[1],A7,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A7,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A7,100.0
Source[1],384PP_AQ_BP,B22,Destination[1],A7,200.0
Source[1],384PP_AQ_BP,B23,Destination[1],A7,425.0
Source[1],384PP_AQ_BP,E6,Destination[1],A7,500.0
Source[1],384PP_AQ_BP,A2,Destination[1],A8,1300.0
Source[1],384PP_AQ_BP,C15,Destination[1],A8,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A8,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A8,100.0
Source[1],384PP_AQ_BP,B22,Destination[1],A8,200.0
Source[1],384PP_AQ_BP,B23,Destination[1],A8,425.0
Source[1],384PP_AQ_BP,E3,Destination[1],A8,50.0
Source[1],384PP_AQ_BP,A2,Destination[1],A9,1825.0
Source[1],384PP_AQ_BP,C15,Destination[1],A9,150.0
Source[1],384PP_AQ_BP,C17,Destination[1],A9,150.0
Source[1],384PP_AQ_BP,D8,Destination[1],A9,275.0
Source[1],384PP_AQ_BP,D12,Destination[1],A9,100.0
