Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A1,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A1,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A1,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A1,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A1,250.0
Source[3],384PP_AQ_BP,N3,Destination[1],A1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A2,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A2,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A2,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A2,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A2,250.0
Source[3],384PP_AQ_BP,N3,Destination[1],A2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A3,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A3,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A3,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A3,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A3,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A3,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A3,250.0
Source[3],384PP_AQ_BP,N3,Destination[1],A3,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A4,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A4,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A4,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A4,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A4,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A4,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A4,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A4,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A4,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A4,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A4,250.0
Source[3],384PP_AQ_BP,O3,Destination[1],A4,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A5,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A5,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A5,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A5,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A5,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A5,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A5,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A5,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A5,250.0
Source[3],384PP_AQ_BP,O3,Destination[1],A5,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],A6,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],A6,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],A6,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],A6,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],A6,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],A6,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A6,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],A6,250.0
Source[3],384PP_AQ_BP,O3,Destination[1],A6,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A7,500.0
Source[1],384PP_AQ_BP,L1,Destination[1],A7,500.0
Source[3],384PP_AQ_BP,P3,Destination[1],A7,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],A8,500.0
Source[1],384PP_AQ_BP,L1,Destination[1],A8,500.0
Source[3],384PP_AQ_BP,P2,Destination[1],A8,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B1,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B1,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B1,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B1,1000.0
Source[3],384PP_AQ_BP,N3,Destination[1],B1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B2,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B2,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B2,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B2,1000.0
Source[3],384PP_AQ_BP,N3,Destination[1],B2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B3,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B3,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B3,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B3,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B3,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B3,1000.0
Source[3],384PP_AQ_BP,N3,Destination[1],B3,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B4,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B4,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B4,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B4,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B4,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B4,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B4,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B4,1000.0
Source[3],384PP_AQ_BP,O3,Destination[1],B4,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B5,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B5,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B5,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B5,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B5,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B5,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B5,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B5,1000.0
Source[3],384PP_AQ_BP,O3,Destination[1],B5,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],B6,600.0
Source[1],384PP_AQ_BP,B1,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,C1,Destination[1],B6,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],B6,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],B6,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],B6,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],B6,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],B6,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B6,1000.0
Source[3],384PP_AQ_BP,O3,Destination[1],B6,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B7,250.0
Source[1],384PP_AQ_BP,L1,Destination[1],B7,250.0
Source[3],384PP_AQ_BP,P3,Destination[1],B7,2500.0
Source[1],384PP_AQ_BP,K1,Destination[1],B8,250.0
Source[1],384PP_AQ_BP,L1,Destination[1],B8,250.0
Source[3],384PP_AQ_BP,P2,Destination[1],B8,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C1,600.0
Source[1],384PP_AQ_BP,C1,Destination[1],C1,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C1,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],C1,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C1,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],C1,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C1,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],C1,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],C1,250.0
Source[3],384PP_AQ_BP,N3,Destination[1],C1,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C2,600.0
Source[1],384PP_AQ_BP,C1,Destination[1],C2,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C2,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],C2,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C2,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],C2,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C2,500.0
Source[1],384PP_AQ_BP,K1,Destination[1],C2,1000.0
Source[1],384PP_AQ_BP,M1,Destination[1],C2,250.0
Source[3],384PP_AQ_BP,N3,Destination[1],C2,2500.0
Source[1],384PP_AQ_BP,A1,Destination[1],C3,600.0
Source[1],384PP_AQ_BP,C1,Destination[1],C3,250.0
Source[1],384PP_AQ_BP,D1,Destination[1],C3,500.0
Source[1],384PP_AQ_BP,E1,Destination[1],C3,2500.0
Source[1],384PP_AQ_BP,F1,Destination[1],C3,100.0
Source[1],384PP_AQ_BP,G1,Destination[1],C3,400.0
Source[1],384PP_AQ_BP,H1,Destination[1],C3,1000.0
Source[1],384PP_AQ_BP,I1,Destination[1],C3,750.0
Source[1],384PP_AQ_BP,J1,Destination[1],C3,500.0
